Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Influenza Life Cycle Homo sapiens R-HSA-168255	47/136	9.586325687724744E-15	1.1468731459132513E-12	0	0	4.791371333500467	154.65798597027677	RPL30;RPL3;SEH1L;RPL31;RPL12;RPLP0;RPL11;RPL36A;CLTA;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;RPL13;NUP88;NUP43;RPS11;RPS10;RPL17;RAE1;POLR2K;KPNA1;HSP90AA1;RPL21;RPS5;RPS6;RPL35A;RPS3A;NUP93;DNAJC3;RPL27A;RPL37A;CANX;RPL24;NUP35;RPL27;NUP54;NUP98;RPL26;RPL28;RPS23
Mitochondrial protein import Homo sapiens R-HSA-1268020	28/54	1.4906450142437364E-14	1.5940837552184922E-12	0	0	9.711779932774409	309.19376659978747	COX19;TOMM40;TIMM9;TIMM13;TIMM10;TOMM20;TOMM22;TIMM50;HSPD1;CHCHD4;CHCHD2;SAMM50;GRPEL1;LDHD;TIMM17A;PMPCA;CYC1;HSPA9;TIMM8B;DNAJC19;MTX1;IDH3G;TIMM44;TIMM21;VDAC1;ACO2;TOMM5;SLC25A6
Apoptosis Homo sapiens R-HSA-109581	52/163	1.574702797708237E-14	1.5940837552184922E-12	0	0	4.255989594067886	135.2643922019311	YWHAE;YWHAB;TRADD;HMGB2;HMGB1;PSMD9;PPP3CC;YWHAQ;CDH1;CASP6;AKT2;HIST1H1D;SPTAN1;KPNA1;DFFB;DFFA;YWHAZ;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSME1;GAS2;PSME2;DSG2;TP53;BIRC2;PSMD10;DIABLO;XIAP;PSMA7;ADD1;PSMB7;PSMB5;PSMB2;PSMB3;PSMB1;PMAIP1;SFN;FADD;BAK1;BID;GSN;TNFRSF10B;OCLN;H1F0;PSMC4;BAX;CTNNB1;VIM;BCL2L1
Gene Expression Homo sapiens R-HSA-74160	259/1631	2.03110659886925E-14	1.909240202937095E-12	0	0	1.7814616187384045	56.1652280982656	TDRKH;ATF2;RPL30;RPL3;RPL31;PARS2;SERPINE1;HNRNPR;THUMPD1;EPRS;RBPJ;RPL8;RPL9;RRP9;PSMD9;RPS19;RPL18A;RPS18;AKT2;CHEK1;MTERF1;HIST3H2BB;RPS11;RPS10;RPL21;PRKCA;IMP4;GTPBP3;SRRM1;NUP93;LARS2;COX7A2L;SCO1;DDX39B;RRAGC;SCO2;PPA1;SARNP;RRAGD;PSME1;PSME2;RPL24;TFAM;RPL27;NUP98;RPL26;TP53;RPL28;SET;SEH1L;MEAF6;ANP32A;CSTF3;RPN1;PDCD11;LARS;SSR1;SFN;NUP88;JUN;PRELID1;ZNF382;PNO1;IGF2;A1CF;HNRNPL;MOV10;TPX2;TBL3;HIST1H4A;HNRNPK;EIF5;QARS;RPL27A;HNRNPD;MPHOSPH10;DCP1A;RPS23;ZNF254;GPI;SMG1;TRAM1;PHF20;RPLP0;HNF4G;BRCA1;COX7C;WDR46;WDR43;RARS;HNF4A;WDR36;PARP1;SSR4;PRMT1;SSR3;SIRT1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;HNRNPH1;GARS;HNRNPH2;PABPC1;CD44;PCNA;RNMT;RPL12;RPL11;COX5B;COX5A;PSMA7;NOL6;PSMB7;RPS15A;PSMB5;PSMB2;PSMB3;PES1;TWISTNB;PSMB1;RPL14;PMS2;RPL13;HARS;BID;RAE1;RPL17;DCPS;SRSF11;TSNAX;SF3A3;WDR18;COX6C;TARBP2;BOP1;SPCS2;MYBBP1A;PRKRA;PSMC4;MARS;TSR1;CARS;SRP19;GTF2B;GEMIN2;ARID4B;CASC3;APEH;SRP14;RPL10A;YARS2;FBL;NARS2;PAPOLA;ZNF689;TXNL4A;SNRNP35;ZFP37;RPS5;RPS6;TSC1;CDC25C;KAT6A;MAPKAPK2;MAPKAPK5;GEMIN6;SRSF6;CARS2;PSMD10;COX19;DDX1;NOP2;NDRG1;PMAIP1;ZNF668;SMN1;SKIL;ESRRA;DARS;SMAD4;FUS;TNFRSF10B;LSM4;TNFRSF10D;LSM8;LSM6;TP53I3;CNOT11;JMY;NABP2;ZNF777;CNOT8;COX20;YWHAE;DDX49;YWHAB;ZC3H8;HSPB1;CHD3;RPS4X;PTBP1;RPL7A;YWHAQ;EXO1;CASP6;CASP2;CTNNBL1;PELP1;UTP15;HSP90AA1;MARS2;H2AFX;RPS3A;PPP2R5C;UTP18;YWHAZ;EEF1G;RPL37A;ETF1;NUP54;GTF2A1;GTF2A2;UHRF1;RPL36A;NR2C2;NR2C1;AURKB;NXF1;RBBP4;BMS1;EIF4H;IGF2BP1;SAP18;IGF2BP3;NUP43;RBBP7;HNRNPA1;MTA2;EIF4E;ZNF740;POLR2K;DCAF13;SEC11C;NOP56;HNRNPA3;SSB;NDUFA4;RPL35A;DEK;WARS2;ZNF737;NUP35;BAX;POLR3H;TAF5;TRIM33
Programmed Cell Death Homo sapiens R-HSA-5357801	52/166	3.6130164704575953E-14	3.169819783414797E-12	0	0	4.143294178506765	128.241784179688	YWHAE;YWHAB;TRADD;HMGB2;HMGB1;PSMD9;PPP3CC;YWHAQ;CDH1;CASP6;AKT2;HIST1H1D;SPTAN1;KPNA1;DFFB;DFFA;YWHAZ;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSME1;GAS2;PSME2;DSG2;TP53;BIRC2;PSMD10;DIABLO;XIAP;PSMA7;ADD1;PSMB7;PSMB5;PSMB2;PSMB3;PSMB1;PMAIP1;SFN;FADD;BAK1;BID;GSN;TNFRSF10B;OCLN;H1F0;PSMC4;BAX;CTNNB1;VIM;BCL2L1
Translation Homo sapiens R-HSA-72766	49/151	4.287380408832596E-14	3.5263703862648104E-12	0	0	4.359863640887827	134.1988498652462	SRP19;RPL30;TRAM1;RPL3;RPL31;RPLP0;APEH;SRP14;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS19;RPL18A;RPS18;RPS11;RPS10;RPL21;SSR4;RPS5;RPS6;SSR3;RPS3A;EEF1G;RPL37A;RPL24;RPL27;ETF1;RPL26;PABPC1;RPL28;RPL12;RPN1;RPL11;RPL36A;RPS15A;RPL14;EIF4H;SSR1;RPL13;RPL17;EIF4E;SEC11C;RPL35A;SPCS2;EIF5;RPL27A;RPS23
Influenza Viral RNA Transcription and Replication Homo sapiens R-HSA-168273	44/128	8.4390252807442E-14	6.5327983937996275E-12	0	0	4.7466425557564795	142.889721084684	RPL30;RPL3;SEH1L;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;RPL13;NUP88;NUP43;RPS11;RPS10;RPL17;RAE1;POLR2K;HSP90AA1;RPL21;RPS5;RPS6;RPL35A;RPS3A;NUP93;DNAJC3;RPL27A;RPL37A;RPL24;NUP35;RPL27;NUP54;NUP98;RPL26;RPL28;RPS23
Eukaryotic Translation Termination Homo sapiens R-HSA-72764	35/87	1.3763640209347584E-13	1.0062750286389678E-11	0	0	6.082457738833747	180.12688247555457	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;APEH;RPL10A;RPL8;RPL9;RPS4X;RPL7A;RPS15A;RPL18A;RPS19;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;RPS6;RPL35A;RPS3A;RPL27A;RPL37A;RPL24;ETF1;RPL27;RPL26;RPL28;RPS23
Viral mRNA Translation Homo sapiens R-HSA-192823	34/84	2.4812023006148014E-13	1.7185590671626728E-11	0	0	6.142609571788413	178.2884010845506	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPS4X;RPL7A;RPS15A;RPL18A;RPS19;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;RPS6;RPL35A;RPS3A;DNAJC3;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL28;RPS23
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	35/89	3.0755803813483197E-13	2.023731890927194E-11	0	0	5.856528151135006	168.72723538305672	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPS4X;RPL7A;RPS15A;RPL18A;RPS19;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;RPS6;RPL35A;RPS3A;RPL27A;RPL37A;RPL24;ETF1;RPL27;RPL26;PABPC1;RPL28;RPS23
Selenocysteine synthesis Homo sapiens R-HSA-2408557	34/87	8.285422594593493E-13	5.1921981592785887E-11	0	0	5.793945154697971	161.18238920375768	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPS4X;RPL7A;RPS15A;RPL18A;RPS19;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;SECISBP2;RPS6;RPL35A;RPS3A;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL28;RPS23
Peptide chain elongation Homo sapiens R-HSA-156902	33/84	1.5075460532998706E-12	9.017866391557408E-11	0	0	5.841774776375807	159.01625180480062	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPS4X;RPL7A;RPS15A;RPL18A;RPS19;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;RPS6;RPL35A;RPS3A;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL28;RPS23
Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	34/89	1.7843920270384543E-12	1.0209825685141765E-10	0	0	5.582633386764369	151.02108217735397	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPS4X;RPL7A;RPS15A;RPL18A;RPS19;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;RPS6;RPL35A;RPS3A;EEF1G;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL28;RPS23
Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802	37/106	4.64137403631862E-12	2.4432192927181213E-10	0	0	4.846107723131371	126.46407882662764	RPL30;SMG1;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;CASC3;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;RPS6;RPL35A;RPS3A;RPL27A;RPL37A;RPL24;RPL27;ETF1;RPL26;PABPC1;RPL28;RPS23
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957	37/106	4.64137403631862E-12	2.4432192927181213E-10	0	0	4.846107723131371	126.46407882662764	RPL30;SMG1;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;CASC3;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;RPS6;RPL35A;RPS3A;RPL27A;RPL37A;RPL24;RPL27;ETF1;RPL26;PABPC1;RPL28;RPS23
L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827	36/106	2.2393679253123058E-11	1.0914845147077757E-9	0	0	4.645169656364815	113.90997617748545	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;EIF4H;RPL13;RPS11;RPS10;RPL17;EIF4E;RPL21;RPS5;RPS6;RPL35A;RPS3A;RPL27A;RPL37A;RPL24;RPL27;RPL26;PABPC1;RPL28;RPS23
3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279	36/106	2.2393679253123058E-11	1.0914845147077757E-9	0	0	4.645169656364815	113.90997617748545	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;EIF4H;RPL13;RPS11;RPS10;RPL17;EIF4E;RPL21;RPS5;RPS6;RPL35A;RPS3A;RPL27A;RPL37A;RPL24;RPL27;RPL26;PABPC1;RPL28;RPS23
GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706	36/107	3.049776490356299E-11	1.4333949504674603E-9	0	0	4.579489037097015	110.88485201051712	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;EIF4H;RPL13;RPS11;RPS10;RPL17;EIF4E;RPL21;RPS5;RPS6;RPL35A;RPS3A;EIF5;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL28;RPS23
Cap-dependent Translation Initiation Homo sapiens R-HSA-72737	37/114	5.396850438769993E-11	2.3674183924737702E-9	0	0	4.340676477911594	102.62496664408556	RPL30;RPL3;RPL31;RPL12;RPLP0;RPL11;RPL36A;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;EIF4H;RPL13;RPS11;RPS10;RPL17;EIF4E;RPL21;RPS5;RPS6;RPL35A;RPS3A;EIF5;RPL27A;RPL37A;RPL24;RPL27;RPL26;PABPC1;RPL28;RPS23
