Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways of neurodegeneration	84/475	2.2521538418153675E-7	6.3674531345870845E-6	0	0	1.9529332460992486	29.89200370447121	APP;HIP1;ARAF;UBE2L6;COX7C;PSMD9;UCHL1;PPP3CC;UQCRFS1;RAC1;RAB8A;GABARAPL2;GPX7;PRKCA;DKK1;SDHB;PSMA5;PSMA6;PLCB3;PSMA3;COX7A2L;PSMA4;PSMA1;VDAC3;PPIF;NDUFS3;VDAC2;ULK1;VDAC1;UQCRC2;PLCB1;SLC25A6;NDUFB9;RAB1A;NDUFB8;VCP;CAMK2D;NDUFB7;TOMM40;UQCRB;NDUFB4;ITPR1;LRP5;ITPR2;HTRA2;ITPR3;UBE2J2;COX5B;COX5A;PSMA7;UQCRH;LRP6;UBE2J1;ATP5MC1;PSMB7;NRAS;ATP5F1A;PSMB5;PSMB2;PSMB3;PSMB1;BAK1;FADD;CYC1;BID;CAMK2G;ATP5PF;NDUFA7;ATP5PD;FUS;NDUFA4;ATP5PB;UBE2G1;COX6C;PSMC4;UQCRQ;VAPB;CHMP2B;ATG2A;CTNNB1;BAX;KRAS;CALM1;BCL2L1
Peroxisome	25/82	2.721792541153673E-7	6.891942769560116E-6	0	0	3.9425293424132044	59.59844713894665	ABCD3;ECI2;PEX11B;HSD17B4;CROT;PMVK;NUDT19;HACL1;ACAA1;DECR2;ABCD1;PEX16;ACOT8;PHYH;IDH1;ECH1;PIPOX;ACSL4;PEX12;DHRS4;SLC25A17;ACOX2;EHHADH;AGPS;ACOX3
Propanoate metabolism	15/34	3.1484700003195507E-7	6.891942769560116E-6	0	0	7.076110936022691	105.93772366147635	ECHS1;BCKDHB;ACAT2;ACAT1;HADHA;LDHA;MCEE;PCCA;EHHADH;DBT;SUCLG2;SUCLG1;MMUT;ACOX3;HIBCH
Alzheimer disease	69/369	3.280526397170864E-7	6.891942769560116E-6	0	0	2.085451282051282	31.13597899055817	APP;ARAF;COX7C;PSMD9;PPP3CC;AKT2;UQCRFS1;ADAM10;DKK1;SDHB;PSMA5;PSMA6;COX7A2L;PLCB3;PSMA3;ADAM17;PSMA4;PSMA1;VDAC3;PPIF;NDUFS3;VDAC2;ULK1;VDAC1;UQCRC2;PLCB1;GAPDH;SLC25A6;NDUFB9;NDUFB8;NDUFB7;UQCRB;LRP1;NDUFB4;ITPR1;LRP5;ITPR2;ITPR3;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;LRP6;PSMB7;ATP5F1A;NRAS;PSMB5;PSMB2;PSMB3;PSMB1;APOE;FADD;CYC1;NAE1;BID;ATP5PF;NDUFA7;ATP5PD;ATP5PB;NDUFA4;EIF2AK2;COX6C;PSMC4;UQCRQ;ATG2A;CTNNB1;KRAS;CALM1
Citrate cycle (TCA cycle)	14/30	3.324088152520956E-7	6.891942769560116E-6	0	0	7.840087281795511	116.94979996758451	FH;IDH3G;IDH1;DLST;SDHB;ACLY;PC;OGDH;SUCLG2;SUCLG1;DLAT;ACO2;IDH3A;PCK2
Viral carcinogenesis	44/203	7.939610830769526E-7	1.5432618552308268E-5	0	0	2.4971515006766976	35.07556779603245	YWHAE;ATF2;GTF2A1;GTF2A2;ATF6B;YWHAB;GTF2B;TRADD;RBPJ;C3;NRAS;CCND1;YWHAQ;CHEK1;CREB3L2;PMAIP1;IKBKG;RAC1;BAK1;JAK1;JUN;GSN;ACTN1;EIF2AK2;ACTN4;HLA-A;YWHAZ;NFKB2;DLG1;HNRNPK;CREB1;PKM;CDK4;DNAJA3;MAPKAPK2;VDAC3;REL;BAX;GRB2;KRAS;LTBR;IL6ST;TP53;MAD1L1
Thermogenesis	48/232	1.0716581488400892E-6	1.9605040252309867E-5	0	0	2.3555026139898088	32.379453678973626	KLB;ATF2;COX19;NDUFB9;SMARCD1;KDM3A;NDUFB8;NDUFB7;UQCRB;NDUFB4;COX5B;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;NRAS;CREB3L2;RPS6KA1;UQCRFS1;CYC1;COA6;ATP5ME;ATP5PF;COA3;NDUFA7;ATP5PD;ATP5PB;NDUFA4;RPS6;ACSL4;FRS2;TSC1;COX6C;SDHB;COX7A2L;CREB1;UQCRQ;NDUFAF4;RPS6KB2;GNAS;NDUFS3;GRB2;KRAS;UQCRC2;NDUFAF1;MGLL;COX20
Apoptosis	34/142	1.322726335418883E-6	2.2853771684181812E-5	0	0	2.834602108405635	38.36865128501076	DIABLO;TRADD;CTSZ;ITPR1;HTRA2;ITPR2;XIAP;ITPR3;NRAS;CASP6;CTSL;AKT2;PMAIP1;CASP2;CTSH;FADD;IKBKG;BAK1;BID;SPTAN1;CTSC;BOK;CTSB;DFFB;JUN;DFFA;ENDOG;PARP1;TNFRSF10B;BAX;KRAS;TP53;BIRC2;BCL2L1
Diabetic cardiomyopathy	43/203	2.0052586569094157E-6	3.2822918015727806E-5	0	0	2.4237822621457488	31.799387035506015	NDUFB9;CAMK2D;NDUFB8;NDUFB7;UQCRB;NDUFB4;COX5B;COX7C;COX5A;UQCRH;ATP5MC1;GYS1;ATP5F1A;AKT2;UQCRFS1;RAC1;CYC1;CAMK2G;ATP5PF;NDUFA7;ATP5PD;PARP1;ATP5PB;NDUFA4;GFPT2;PRKCA;CYBA;COX6C;SDHB;AGT;TGFBR2;COX7A2L;PLCB3;UQCRQ;VDAC3;PPIF;NDUFS3;VDAC2;VDAC1;UQCRC2;PLCB1;GAPDH;SLC25A6
Valine, leucine and isoleucine degradation	17/48	2.185424372511647E-6	3.3983348992556116E-5	0	0	4.916857336212175	64.08484605636544	ACAA2;ECHS1;HMGCS1;BCKDHB;ACSF3;ACAT2;ACAT1;HADHB;HADHA;MCEE;PCCA;EHHADH;DBT;MMUT;ACAA1;BCAT1;HIBCH
Oxidative phosphorylation	32/133	2.395207559724192E-6	3.5471883384486844E-5	0	0	2.8510067916706117	36.89784583994672	ATP6V1A;NDUFB9;NDUFB8;NDUFB7;UQCRB;NDUFB4;COX5B;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;ATP6V1H;UQCRFS1;CYC1;ATP6V1E1;ATP6V1D;ATP5ME;ATP6V0A1;ATP5PF;NDUFA7;ATP5PD;ATP5PB;NDUFA4;COX6C;SDHB;COX7A2L;PPA1;UQCRQ;ATP6V1B2;NDUFS3;UQCRC2
Tight junction	37/169	4.53395341782986E-6	6.409361422477666E-5	0	0	2.524282940403021	31.058565965497422	PCNA;ARPC1B;ARPC1A;MYL6B;F11R;ACTR3B;MYL12B;SLC9A3R1;CCND1;ERBB2;MICALL2;MYH14;MYH11;RAC1;MYH10;CGNL1;RAB8A;ACTR3;ACTR2;JUN;ACTN1;RDX;ARPC4;ACTN4;ARPC5;AFDN;DLG1;OCLN;ARPC2;CTTN;ARPC3;CDK4;MYH9;RAPGEF2;NF2;EZR;LLGL2
Bacterial invasion of epithelial cells	21/77	1.6671638053134884E-5	2.2542954063151953E-4	0	0	3.3643018018018016	37.0133809543356	ACTR3;ACTR2;ARPC1B;CAV1;ARPC1A;GAB1;FN1;CLTA;ILK;ARPC4;ARPC5;ACTR3B;CTTN;ARPC2;CDH1;ARPC3;CTNNA1;CTNNB1;RAC1;MET;BCAR1
Proteasome	15/46	2.6893917156025522E-5	3.4850034314683073E-4	0	0	4.334073787908054	45.61010409695805	PSMA7;PSMA5;PSMB7;PSMD9;PSMA6;PSMA3;PSMB5;PSMA4;PSMB2;PSMA1;PSMB3;PSMC4;PSMB1;PSME1;PSME2
Glucagon signaling pathway	25/107	4.94874283920176E-5	6.15623609196699E-4	0	0	2.736716246299875	27.13123533470746	ATF2;CAMK2D;ITPR1;ITPR2;ITPR3;PYGL;GYS1;LDHA;PPP3CC;AKT2;CREB3L2;CAMK2G;PCK2;PRMT1;PGAM1;PPP4R3A;PHKB;SIRT1;PLCB3;CREB1;PKM;GNAS;SIK2;CALM1;PLCB1
Lysosome	28/128	6.37684638737745E-5	7.627689332593796E-4	0	0	2.514655951783024	24.292209650563574	CTSZ;CLTA;LAPTM4A;LAMP1;CTSL;LAMP2;NEU1;PSAP;SLC17A5;ATP6V1H;CTSH;AGA;ARSB;CTSC;ATP6V0A1;CTSB;SORT1;FUCA2;AP1B1;NAGA;MCOLN1;AP4B1;IGF2R;SUMF1;GNPTG;NPC2;DNASE2;LGMN
Proteoglycans in cancer	39/205	7.61900888729475E-5	8.775969496106175E-4	0	0	2.113864549105513	20.044253784330877	CAMK2D;SDC4;SDC2;ARAF;ITPR1;ITPR2;ITPR3;NRAS;CCND1;ERBB3;CTSL;AKT2;ERBB2;GPC3;FLNB;RAC1;FLNC;CAMK2G;CAV1;RDX;RPS6;FN1;IGF2;GAB1;FRS2;PRKCA;ANK1;VAV2;CTTN;RPS6KB2;PDCD4;SDC1;CTNNB1;GRB2;KRAS;EZR;TP53;MET;CD44
Pentose phosphate pathway	11/30	9.554211613055667E-5	0.001061199932735826	0	0	5.17881107150346	47.93478216277289	GPI;GLYCTK;RGN;PGM2;TALDO1;ALDOC;PGD;ALDOA;TKT;PGM1;DERA
Endocytosis	45/252	1.0854996152324631E-4	0.0011641047597837793	0	0	1.9574027575877715	17.867759623604886	ARF1;TFRC;ARPC1B;ARPC1A;VPS4A;CLTA;AP2A1;ASAP2;ACTR3B;AP2A2;EEA1;CYTH2;CAPZB;CHMP1B;CHMP1A;RAB11FIP3;GIT1;RAB8A;AP2M1;ACTR3;ACTR2;IST1;CAV1;HSPA6;VPS37C;ARPC4;HLA-A;AP2B1;ARPC5;IGF2R;EPN1;EPN2;TGFBR2;DAB2;ZFYVE16;EHD4;ARPC2;ARPC3;CAPZA2;CHMP2B;CHMP2A;CHMP4B;FGFR4;CHMP7;FGFR2
Pathogenic Escherichia coli infection	37/197	1.508780257271473E-4	0.0015641022000380937	0	0	2.0792665237134207	18.29554686805141	RAB1A;ARF1;TMED10;ARPC1B;TRADD;ARPC1A;ACTR3B;SLC9A3R1;CYTH2;BAIAP2L1;GNA12;MYH14;MYH11;FADD;IKBKG;RAC1;BAK1;MYH10;ACTR3;ARHGEF11;ACTR2;JUN;IL18;TNFRSF10B;ARPC4;ARPC5;F2;OCLN;CTTN;ARPC2;ARPC3;MYO1A;MYH9;BAX;TMBIM6;EZR;GAPDH
Shigellosis	43/246	2.4779535274779124E-4	0.0024559394705650326	0	0	1.9057607546718254	15.823354963945942	ARF1;ARPC1B;UBE2D2;TRADD;ARPC1A;CUL1;ITPR1;ITPR2;ILK;ITPR3;ACTR3B;MYL12B;C3;CYTH2;AKT2;IKBKG;RAC1;ACTR3;GABARAPL2;ACTR2;JUN;ACTN1;BNIP3;IL18;ARPC4;ACTN4;ARPC5;PLCB3;RRAGC;CTTN;ARPC2;ARPC3;RRAGD;RPS6KB2;BAX;VDAC1;UBE2V1;PLCB1;TP53;CD44;BCAR1;PFN2;BCL2L1
Necroptosis	31/159	2.527011673893281E-4	0.0024559394705650326	0	0	2.1749363367706236	18.01565651770297	CAMK2D;HSP90AB1;TRADD;VPS4A;XIAP;HMGB1;PYGL;CHMP1B;CHMP1A;FADD;BID;CAMK2G;JAK1;HSP90AA1;PARP1;EIF2AK2;TNFRSF10B;GLUD1;GLUD2;CHMP2B;VDAC3;CHMP2A;CHMP4B;VDAC2;BAX;VDAC1;PGAM5;CHMP7;BIRC2;FTL;SLC25A6
Human cytomegalovirus infection	40/225	2.797619283244004E-4	0.002636544233602682	0	0	1.9443071166163637	15.907487833424465	ATF2;ATF6B;TRADD;ITPR1;ITPR2;ITPR3;CX3CL1;AKAP13;NRAS;PPP3CC;CCND1;AKT2;GNA11;CREB3L2;GNA12;FADD;IKBKG;RAC1;BAK1;BID;JAK1;PDIA3;ARHGEF11;PRKCA;TSC1;HLA-A;PLCB3;CREB1;CDK4;GNB2;RPS6KB2;GNAS;CTNNB1;BAX;GRB2;KRAS;CALM1;PLCB1;TP53;BCAR1
Ubiquitin mediated proteolysis	28/140	3.1852074678167055E-4	0.002913528007326457	0	0	2.2437217478653944	18.0660502539951	UBA6;UBE2D2;CUL1;XIAP;UBE2L6;BRCA1;UBE2Z;UBE2J2;UBE2J1;HERC2;UBR5;FBXO4;ELOB;UBE2H;UBE2I;PPIL2;FBXO2;UBE2E1;UBE4A;UBE2G1;PIAS2;PIAS1;UBA3;UBA2;SAE1;UBE2K;BIRC2;UBE2M
HIF-1 signaling pathway	23/109	4.79262225283375E-4	0.004258587201803704	0	0	2.3977315095306895	18.326491732682026	CAMK2D;PFKFB3;TFRC;SERPINE1;RPS6;ARNT;PRKCA;ENO2;LDHA;TF;AKT2;MKNK1;ERBB2;RPS6KB2;PGK1;ELOB;ALDOC;LTBR;ALDOA;GAPDH;CAMK2G;EIF4E;PDK1
Thyroid cancer	11/37	7.697093197736854E-4	0.0066494332902671165	0	0	3.783040913269997	27.12250282850675	NRAS;CCND1;TFG;CDH1;TPM3;NCOA4;BAX;CTNNB1;KRAS;BAK1;TP53
Parathyroid hormone synthesis, secretion and action	22/106	7.962650734586427E-4	0.0066929307525848076	0	0	2.347175525192551	16.74845502715159	ARHGEF11;ATF2;JUND;ATF6B;ARAF;ITPR1;LRP5;ITPR2;PRKCA;ITPR3;LRP6;SLC9A3R1;AKAP13;MMP14;PLCB3;CREB1;MMP15;GNA11;CREB3L2;GNA12;GNAS;PLCB1
PPAR signaling pathway	17/74	9.30568300332258E-4	0.007615966879035058	0	0	2.67020698599646	18.637283974415023	HMGCS1;APOA2;ILK;APOA1;APOC3;ACSL4;FABP1;FADS2;ACOX2;FABP5;SCD;EHHADH;ME1;ACOX3;ACAA1;PLTP;PCK2
N-Glycan biosynthesis	13/50	0.001079159427182465	0.008490481319432013	0	0	3.142895637412088	21.47092050394036	ST6GAL1;ALG9;ALG5;RPN1;ALG14;ALG2;MOGS;DOLK;ALG1;ALG11;DPM3;MAN1A1;STT3B
Thyroid hormone synthesis	17/75	0.0010920233208272685	0.008490481319432013	0	0	2.624022529194943	17.89510691509779	ATF2;ATF6B;ITPR1;GPX7;ITPR2;PRKCA;ITPR3;LRP2;ASGR1;ASGR2;PLCB3;CREB1;TTR;CREB3L2;CANX;GNAS;PLCB1
Regulation of actin cytoskeleton	37/218	0.0011308956692055172	0.00857825739324185	0	0	1.8358597543638604	12.455840899738963	ARPC1B;ARPC1A;ARAF;ACTR3B;KNG1;MYL12B;NRAS;CFL2;GNA12;MYH14;PIP4K2B;MYH11;RAC1;MYH10;GIT1;ACTR3;ACTR2;GSN;ACTN1;RDX;FN1;ARPC4;ACTN4;ARPC5;F2;SSH3;VAV2;ARPC2;ARPC3;MYH9;ITGA6;KRAS;EZR;FGFR4;FGFR2;BCAR1;PFN2
Autophagy	26/137	0.001159794189900322	0.008587999834738099	0	0	2.1002337008358083	14.196556399190596	RAB1A;MTMR3;MTMR14;ITPR1;HMGB1;CAMKK2;NRAS;DEPTOR;LAMP1;CTSL;AKT2;LAMP2;RAB8A;CTSB;GABARAPL2;BNIP3;ATG9A;TSC1;VMP1;RRAGC;RRAGD;RPS6KB2;ATG2A;ULK1;KRAS;BCL2L1
Pancreatic cancer	17/76	0.0012766411269020817	0.009233381173640639	0	0	2.5794036472002575	17.187914935354094	RALBP1;SMAD4;ARAF;TGFBR2;CCND1;CDK4;AKT2;ERBB2;RPS6KB2;BAX;KRAS;IKBKG;RAC1;BAK1;TP53;JAK1;BCL2L1
Phosphatidylinositol signaling system	20/97	0.0014670905762568587	0.010369662936724616	0	0	2.3263579841868984	15.17826227376169	CDS1;MTMR3;SACM1L;MTMR14;ITPR1;ITPR2;PRKCA;ITPR3;PIK3C2A;ITPKC;PLCB3;PIP4P1;IMPA1;IMPA2;ITPKA;PIP4K2B;PI4KB;CALM1;PLCB1;CDS2
Endometrial cancer	14/58	0.0015439934047162456	0.010670709974816719	0	0	2.846497392881433	18.42646811427113	ARAF;ILK;NRAS;CCND1;CDH1;AKT2;ERBB2;CTNNA1;BAX;CTNNB1;GRB2;KRAS;BAK1;TP53
Adherens junction	16/71	0.0016127186740644676	0.010903380600740205	0	0	2.6035129124495078	16.740155600910263	SMAD4;YES1;ACTN1;PTPRM;LMO7;ACTN4;PTPRF;TGFBR2;AFDN;CDH1;ERBB2;CTNNA1;CTNNB1;RAC1;MET;NECTIN2
mRNA surveillance pathway	20/98	0.0016717514928239567	0.011062015197196821	0	0	2.2964046125626916	14.682943341270905	SMG1;CPSF6;FUS;RNMT;CSTF3;PABPC4;PYM1;PPP2R5A;CASC3;PPP2R5C;SRRM1;GLE1;NXF1;DDX39B;PAPOLA;SAP18;ETF1;PABPC1;PELO;NXF5
Ferroptosis	11/41	0.0019501611998097494	0.012473910306115329	0	0	3.2779050464807438	20.453613656311294	MAP1LC3B;TF;TFRC;NCOA4;VDAC3;VDAC2;ACSL4;SLC7A11;CP;TP53;FTL
Pyruvate metabolism	12/47	0.0019653427813493603	0.012473910306115329	0	0	3.0657270980140936	19.105882914921075	FH;LDHA;PC;PKM;LDHD;ME1;DLAT;ME2;ACYP1;ACAT2;ACAT1;PCK2
GnRH signaling pathway	19/93	0.002127957257530852	0.013235894141841897	0	0	2.298871621621622	14.144020972258756	MAP3K2;CAMK2D;JUN;ITPR1;ITPR2;PRKCA;ITPR3;MMP14;PLCB3;NRAS;MAPK7;GNA11;GNAS;GRB2;KRAS;PLCB1;CALM1;CAMK2G;MAP3K4
Glycolysis / Gluconeogenesis	15/67	0.0023840219399564487	0.014537859280910892	0	0	2.580751957623215	15.58507416996014	GPI;TPI1;ADPGK;PGAM1;ENO2;LDHA;PKM;PGK1;PGM2;ALDOC;DLAT;ALDOA;GAPDH;PGM1;PCK2
Pathways in cancer	74/531	0.002655029160935068	0.015879116712515504	0	0	1.4589122082655972	8.653245457056762	HSP90AB1;ARAF;CKS1B;TFG;CCND1;CDH1;AKT2;SUFU;HEY2;ELOB;IKBKG;PIM2;RAC1;JAK1;IL13RA1;ARHGEF11;HSP90AA1;RALBP1;GSTO1;TPM3;NCOA4;ARNT;PRKCA;F2;TGFBR2;PLCB3;CKS2;ITGA6;PLCB1;IL6ST;MET;TP53;BIRC2;CEBPA;FH;CAMK2D;MAX;GSTP1;MGST3;LAMA4;CUL1;LRP5;XIAP;KNG1;LRP6;NRAS;GNA11;ERBB2;GNA12;CTNNA1;PMAIP1;BAK1;FADD;BID;CAMK2G;JUN;SMAD4;JUP;FN1;IGF2;AGT;NFKB2;CDK4;GNB2;RPS6KB2;GNAS;CTNNB1;BAX;GRB2;KRAS;CALM1;FGFR4;FGFR2;BCL2L1
Mitophagy	15/68	0.0027787645466544816	0.016305580641689507	0	0	2.531917297480511	14.902229341528427	GABARAPL2;JUN;BNIP3;ATG9A;TFE3;NRAS;RHOT1;NBR1;TAX1BP1;PGAM5;ULK1;KRAS;TBC1D17;TP53;BCL2L1
Fatty acid degradation	11/43	0.002941613648719655	0.016941515643552087	0	0	3.0726936005976095	17.910107204491183	HADHB;HADHA;ACAA2;ECHS1;EHHADH;ECI2;ACSL4;ACOX3;ACAA1;ACAT2;ACAT1
Non-alcoholic fatty liver disease	27/155	0.003412814228228088	0.019297913181435186	0	0	1.8904955760542168	10.738427077870854	CEBPA;NDUFB9;NDUFB8;NDUFB7;UQCRB;NDUFB4;ADIPOR1;COX5B;COX7C;COX5A;UQCRH;AKT2;UQCRFS1;CYC1;RAC1;BID;JUN;NDUFA7;NDUFA4;COX6C;SDHB;COX7A2L;UQCRQ;NDUFS3;BAX;UQCRC2;MAP3K11
RNA transport	31/186	0.003612301288675568	0.020061173228180386	0	0	1.7933601609657948	10.084799881797958	SEH1L;GEMIN2;CASC3;GLE1;NXF1;SUMO3;SUMO2;SMN2;SAP18;NUP88;NUP43;SMN1;EIF4E;NXF5;RAE1;UBE2I;FUS;PABPC4;PYM1;RANGAP1;SRRM1;NUP93;EIF5;DDX39B;TACC3;NUP35;GEMIN6;NUP54;NUP98;PABPC1;NUP58
Salmonella infection	39/249	0.003753323512166453	0.020478659864627487	0	0	1.6668326118326118	9.309449425253547	ARF1;HSP90AB1;AHNAK;ARPC1B;FHOD1;TRADD;ARPC1A;SNX33;PIK3C2A;ACTR3B;MYL12B;STX10;TXN2;CYTH2;AKT2;FLNB;FADD;IKBKG;RAC1;FLNC;BAK1;KPNA1;GSDMD;ACTR3;ACTR2;JUN;HSP90AA1;IL18;TNFRSF10B;ARPC4;ARPC5;ARPC2;ARPC3;CTNNB1;BAX;ACBD3;GAPDH;BIRC2;PFN2
Biosynthesis of unsaturated fatty acids	8/27	0.004077161084274296	0.021491476223886544	0	0	3.760789342824989	20.693195582754687	FADS2;ELOVL1;SCD;ELOVL2;HSD17B4;ACOX3;ACAA1;HACD2
Fatty acid elongation	8/27	0.004077161084274296	0.021491476223886544	0	0	3.760789342824989	20.693195582754687	HADHB;ELOVL1;HADHA;ACAA2;ECHS1;ELOVL2;THEM4;HACD2
